Model,Accuracy,ROC-AUC,Cross-Val Accuracy Mean,Cross-Val Accuracy Std
Random Forest,0.655,0.46863095238095237,0.67,0.01741048534648014
Gradient Boosting,0.69,0.5108333333333334,0.65,0.014252192813739252
XGBoost,0.61,0.4963095238095238,0.6162500000000001,0.02893959225697557
LightGBM,0.605,0.4827380952380953,0.60625,0.02128673295740798
Logistic Regression,0.7,0.513452380952381,0.7,0.0
SVM,0.7,0.5016666666666666,0.7,0.0
k-NN,0.67,0.5355952380952382,0.64875,0.030973779233409646
Neural Network,0.66,0.4947619047619048,0.6775,0.01159202311936963
